start,end,cost
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJr8hSvVdSUkYR9El_JWHKncY,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJuYkcKlhSUkYRkyJyE8H3_fI,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJV02yLVhSUkYR5Urrpdyav5w,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJI3hCtFlSUkYRPnfwEKyXdTk,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJOW51C1lSUkYRRv6n34W9-Zg,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJj5kfbFlSUkYRcDRZTsny7_c,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJpyBCaFlSUkYR3LHwM6zxRjU,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJL3cdF1dSUkYRrSCPkRNdtPE,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJgXdTbFdSUkYR33h2wlG_Zwk,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJ64wzbldSUkYR5FeQ9EKDTkU,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJ7feGfFdSUkYRmmsyva5Yh7g,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJRwYQ1llSUkYRMKaZjz2gpdg,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJmQYH01lSUkYRA5sfbpFn4ag,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJaU2CalhSUkYR16Poj9gzgIw,5.829686789994971e-06
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJt2H3cFhSUkYRAkkFfX87Bq8,7.902649839989516e-06
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJRZDreVhSUkYRo3ujslhgkNQ,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJuRTCa1hSUkYRZctNq7Wpmys,inf
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJCy4tOFhSUkYR0RImuvsSO1g,inf
